[Growth,R1,R2,R2_rev,R3,R4,R5a,R5b,R6,R7,R8,R8_rev,Rres,Tc1,Tc2,Td,Te,Tf,Th,To2]
1 [1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1]
2 [1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1]
3 [1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1]
4 [1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1]
5 [1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1]
6 [1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1]
7 [1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1]
8 [1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1]
9 [1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1]
10 [1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1]
11 [1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1]
12 [1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1]
13 [1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1]
14 [1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1]
15 [1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1]
16 [1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1]
17 [1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1]
18 [1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1]
19 [1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0]
20 [1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0]
21 [1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0]
22 [1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0]
23 [1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0]
